Algorithm,TestCase,Makespan,CacheHit,TotalExecutionTime,AvgExecutionTime,ResponseTime,CpuUtilization,LoadBalance
CacheAware_v2,1,109309.00,0.737,662450.00,11040.83,42956.95,0.758,0.860
CacheAware_v2,2,110260.00,0.745,710629.00,11843.82,47140.23,0.806,0.854
CacheAware_v2,3,111040.00,0.738,706913.00,11781.88,46348.97,0.796,0.867
CacheAware_v2,4,112761.00,0.738,723256.00,12054.27,52703.08,0.802,0.868
CacheAware_v2,5,107738.00,0.739,692401.00,11540.02,46400.68,0.803,0.881
CacheAware_v2,6,102158.00,0.729,687942.00,11465.70,45323.82,0.842,0.869
CacheAware_v2,7,107495.00,0.741,710060.00,11834.33,48973.58,0.826,0.857
CacheAware_v2,8,115826.00,0.735,691589.00,11526.48,48635.48,0.746,0.786
CacheAware_v2,9,97530.00,0.741,705812.00,11763.53,51040.12,0.905,0.922
CacheAware_v2,10,99855.00,0.739,701584.00,11693.07,48330.28,0.878,0.876
CacheAware_v2,11,95470.00,0.735,695374.00,11589.57,46471.83,0.910,0.934
CacheAware_v2,12,110474.00,0.731,685581.00,11426.35,47464.73,0.776,0.836
CacheAware_v2,13,112109.00,0.735,700025.00,11667.08,46289.93,0.781,0.861
CacheAware_v2,14,106024.00,0.738,672016.00,11200.27,48575.83,0.792,0.859
CacheAware_v2,15,103521.00,0.738,696691.00,11611.52,49941.20,0.841,0.887
CacheAware_v2,16,113167.00,0.741,713981.00,11899.68,48728.52,0.789,0.872
CacheAware_v2,17,118107.00,0.734,728896.00,12148.27,50759.18,0.771,0.842
CacheAware_v2,18,103225.00,0.737,706237.00,11770.62,48047.00,0.855,0.917
CacheAware_v2,19,110665.00,0.736,695291.00,11588.18,50070.15,0.785,0.865
CacheAware_v2,20,101620.00,0.737,665875.00,11097.92,44576.45,0.819,0.908
CacheAware_v2,21,124044.00,0.741,814492.00,13574.87,52073.52,0.821,0.876
CacheAware_v2,22,136064.00,0.733,872615.00,14543.58,58789.27,0.802,0.880
CacheAware_v2,23,123023.00,0.738,798143.00,13302.38,57234.67,0.811,0.891
CacheAware_v2,24,121868.00,0.738,850226.00,14170.43,56374.00,0.872,0.886
CacheAware_v2,25,119684.00,0.741,824554.00,13742.57,52814.72,0.861,0.867
CacheAware_v2,26,127755.00,0.737,819427.00,13657.12,58045.27,0.802,0.884
CacheAware_v2,27,110366.00,0.741,812704.00,13545.07,54013.27,0.920,0.926
CacheAware_v2,28,117225.00,0.733,815339.00,13588.98,54076.27,0.869,0.909
CacheAware_v2,29,133461.00,0.741,831811.00,13863.52,54909.82,0.779,0.829
CacheAware_v2,30,116804.00,0.737,814799.00,13579.98,54687.70,0.872,0.879
CacheAware_v2,31,135173.00,0.735,860064.00,14334.40,52130.42,0.795,0.815
CacheAware_v2,32,126693.00,0.742,818937.00,13648.95,60807.55,0.808,0.852
CacheAware_v2,33,127565.00,0.737,840456.00,14007.60,58454.08,0.824,0.883
CacheAware_v2,34,117618.00,0.743,787807.00,13130.12,51426.88,0.837,0.897
CacheAware_v2,35,128827.00,0.742,825108.00,13751.80,55069.47,0.801,0.832
CacheAware_v2,36,128346.00,0.738,888067.00,14801.12,57902.72,0.865,0.859
CacheAware_v2,37,114038.00,0.738,804361.00,13406.02,57535.95,0.882,0.908
CacheAware_v2,38,127420.00,0.736,855944.00,14265.73,64557.00,0.840,0.889
CacheAware_v2,39,123447.00,0.733,834171.00,13902.85,54187.93,0.845,0.898
CacheAware_v2,40,141034.00,0.732,858883.00,14314.72,56465.70,0.761,0.824
CacheAware_v2,41,143358.00,0.736,999225.00,16653.75,66319.37,0.871,0.898
CacheAware_v2,42,135725.00,0.745,934457.00,15574.28,57453.25,0.861,0.876
CacheAware_v2,43,140826.00,0.738,958135.00,15968.92,69599.32,0.850,0.845
CacheAware_v2,44,147067.00,0.737,986235.00,16437.25,64847.73,0.838,0.905
CacheAware_v2,45,210179.00,0.736,1016634.00,16943.90,62748.57,0.605,0.740
CacheAware_v2,46,134709.00,0.738,950225.00,15837.08,58832.50,0.882,0.913
CacheAware_v2,47,152140.00,0.736,979578.00,16326.30,62909.18,0.805,0.876
CacheAware_v2,48,159463.00,0.738,973392.00,16223.20,64311.82,0.763,0.848
CacheAware_v2,49,146565.00,0.737,936501.00,15608.35,65176.98,0.799,0.852
CacheAware_v2,50,129653.00,0.737,958166.00,15969.43,63723.80,0.924,0.941
CacheAware_v2,51,151683.00,0.735,997656.00,16627.60,66593.43,0.822,0.857
CacheAware_v2,52,194392.00,0.741,966241.00,16104.02,64549.78,0.621,0.750
CacheAware_v2,53,181442.00,0.742,1000507.00,16675.12,66758.45,0.689,0.826
CacheAware_v2,54,143107.00,0.743,973516.00,16225.27,67607.32,0.850,0.897
CacheAware_v2,55,163769.00,0.740,1002282.00,16704.70,63401.02,0.765,0.871
CacheAware_v2,56,153390.00,0.735,988449.00,16474.15,70701.02,0.806,0.841
CacheAware_v2,57,157408.00,0.743,955895.00,15931.58,62677.18,0.759,0.814
CacheAware_v2,58,142135.00,0.746,984479.00,16407.98,65178.38,0.866,0.878
CacheAware_v2,59,206126.00,0.738,1014381.00,16906.35,63191.35,0.615,0.743
CacheAware_v2,60,150025.00,0.741,994379.00,16572.98,66333.15,0.829,0.907
